area,bedrooms,bathrooms,floors,age,distance_to_center,has_parking,price
45,2,1,1,10,5,1,1350
50,2,1,1,8,4.5,1,1500
60,3,2,2,5,3,1,1900
70,3,2,2,4,2.5,1,2200
80,4,2,2,3,2,1,2500
90,4,3,3,2,1.5,1,2900
100,5,3,3,1,1,1,3200
55,2,1,1,12,6,0,1400
65,3,2,2,7,3.5,1,2000
75,3,2,2,6,3,1,2300
85,4,2,2,5,2.5,1,2600
95,4,3,3,4,2,1,3000
110,5,3,3,2,1.2,1,3400
120,5,4,3,1,1,1,3700
130,6,4,3,1,0.8,1,4000
40,2,,1,15,6.5,0,1200
52,2,1,,10,5.5,1,1500
68,3,2,2,,3.2,1,2100
72,3,,2,6,3,1,2250
88,4,2,2,5,,1,2700
95,4,3,3,4,2.2,,3050
105,,3,3,2,1.5,1,3300
115,5,4,3,,1.1,1,3600
125,6,4,3,1,,1,3900
135,6,5,4,1,0.7,1,4200
48,2,1,1,14,6,0,1300
58,2,1,1,11,5,1,1600
66,3,2,2,8,3.8,1,2050
78,3,2,2,6,3.1,1,2400
82,4,2,2,5,2.7,1,2550
92,4,3,3,4,2.3,1,2950
102,5,3,3,3,1.7,1,3250
112,5,4,3,2,1.3,1,3500
122,5,4,3,1,1.1,1,3800
132,6,5,4,1,0.9,1,4100
42,2,1,1,13,6.2,0,1250
62,3,2,2,9,4,1,1950
74,3,2,2,7,3.3,1,2350
86,4,2,2,5,2.8,1,2650
98,4,3,3,3,2.1,1,3050
